Kota Asal,Kota Tujuan,Area Tujuan,Harga Publish,SLA
SURABAYA,MALANG,JAWA TIMUR,3000,1-3 HARI
SURABAYA,MAGETAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,MADIUN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,LUMAJANG,JAWA TIMUR,3000,1-3 HARI
SURABAYA,BOJONEGORO,JAWA TIMUR,3200,1-3 HARI
SURABAYA,BLITAR,JAWA TIMUR,3000,1-3 HARI
SURABAYA,BONDOWOSO,JAWA TIMUR,3200,1-3 HARI
SURABAYA,KEDIRI,JAWA TIMUR,3000,1-3 HARI
SURABAYA,PASURUAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,PONOROGO,JAWA TIMUR,3000,1-3 HARI
SURABAYA,NGAWI,JAWA TIMUR,3000,1-3 HARI
SURABAYA,NGANJUK,JAWA TIMUR,3000,1-3 HARI
SURABAYA,NGASEM,JAWA TIMUR,3000,1-3 HARI
SURABAYA,SIDOARJO,JAWA TIMUR,3000,1-3 HARI
SURABAYA,PAMEKASAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,PACITAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,PANDAAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,SITUBONDO,JAWA TIMUR,3200,1-3 HARI
SURABAYA,CARUBAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,MOJOSARI,JAWA TIMUR,3000,1-3 HARI
SURABAYA,LAMONGAN,JAWA TIMUR,3200,1-3 HARI
SURABAYA,MOJOKERTO,JAWA TIMUR,3000,1-3 HARI
SURABAYA,PROBOLINGGO,JAWA TIMUR,3000,1-3 HARI
SURABAYA,BATU,JAWA TIMUR,3000,1-3 HARI
SURABAYA,JEMBER,JAWA TIMUR,3200,1-3 HARI
SURABAYA,JOMBANG,JAWA TIMUR,3000,1-3 HARI
SURABAYA,BANGKALAN,JAWA TIMUR,3000,1-3 HARI
SURABAYA,BANYUWANGI,JAWA TIMUR,3200,1-3 HARI
SURABAYA,TULUNG AGUNG,JAWA TIMUR,3000,1-3 HARI
SURABAYA,TRENGGALEK KOTA,JAWA TIMUR,3000,1-3 HARI
